AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10
Watford,E07000103,0.249492079,0.234712147,0.241481773,0.23554244,0.225260068,0.244163795,0.234014849,0.247373237,0.238770482,0.228509153
Ashford,E07000105,0.197716115,0.206271097,0.202771248,0.199814685,0.207827876,0.196694885,0.201637818,0.203614485,0.203010583,0.20133637
Canterbury,E07000106,0.204519359,0.20576814,0.193204061,0.186800414,0.190998626,0.20322824,0.202436493,0.196430255,0.194415201,0.187096917
Dartford,E07000107,0.261183973,0.266835106,0.272256609,0.264972345,0.268612649,0.265268794,0.264837686,0.274615137,0.271913885,0.274165146
Dover,E07000108,0.315354858,0.321323391,0.35443814,0.360072508,0.353899553,0.317238621,0.330854357,0.352985611,0.352124391,0.355081244
Gravesham,E07000109,0.22727329,0.23866244,0.233644471,0.23501608,0.232182369,0.23668151,0.237717657,0.23708568,0.229896229,0.226633225
Maidstone,E07000110,0.339815567,0.336845422,0.338880405,0.35488024,0.351176608,0.334417147,0.332353329,0.339855861,0.355919746,0.344540735
Sevenoaks,E07000111,0.319833867,0.332404162,0.310436369,0.314883097,0.306609988,0.322545079,0.331176794,0.321090541,0.310804157,0.30659951
Shepway,E07000112,0.285694588,0.30019799,0.321193963,0.301222826,0.289040398,0.296679171,0.285731182,0.319886756,0.305181688,0.285173418
Swale,E07000113,0.302728337,0.302422482,0.292953512,0.284331873,0.298533733,0.304336826,0.300469199,0.281619,0.28114669,0.291633768
Thanet,E07000114,0.226026085,0.209633786,0.215653181,0.208558838,0.216877665,0.226091337,0.209210334,0.215975231,0.210805383,0.212006966
Tonbridge and Malling,E07000115,0.323454036,0.325622834,0.316752158,0.298922456,0.292099194,0.322273692,0.328974195,0.313490156,0.298691467,0.29577387
Tunbridge Wells,E07000116,0.364677435,0.362889869,0.344217048,0.341658957,0.316447314,0.375053847,0.353923358,0.341838825,0.356466382,0.317987572
Burnley,E07000117,0.292055833,0.287804945,0.300469481,0.274867258,0.285377975,0.292348662,0.285226169,0.286768783,0.274872189,0.284274431
Chorley,E07000118,0.403937622,0.390126207,0.375428948,0.368147994,0.393212132,0.40201185,0.384226629,0.370680372,0.383343396,0.388631802
Fylde,E07000119,0.236165292,0.224613696,0.220547925,0.215091501,0.218492302,0.230100078,0.214205076,0.217625546,0.219446499,0.223958382
Hyndburn,E07000120,0.290156414,0.285103815,0.268899335,0.263345531,0.256330578,0.292311684,0.284334409,0.270459439,0.256514255,0.252397407
Lancaster,E07000121,0.298853282,0.296405567,0.296935386,0.293539018,0.281425886,0.298193117,0.303113688,0.297008384,0.293152621,0.270786055
Pendle,E07000122,0.274329293,0.267039639,0.264934423,0.275946072,0.277859272,0.272133237,0.265303903,0.26617817,0.277453642,0.275651536
Preston,E07000123,0.304459897,0.312781728,0.300272704,0.286345805,0.284525685,0.308572368,0.312135134,0.298874873,0.2839783,0.283849452
Ribble Valley,E07000124,0.323446928,0.341898819,0.342043955,0.328200526,0.320413469,0.341021408,0.344936544,0.339006824,0.326800261,0.325201421
Rossendale,E07000125,0.268535354,0.255356626,0.243269314,0.250691107,0.246191812,0.265536879,0.25533754,0.256717256,0.250183941,0.266961207
South Ribble,E07000126,0.29855493,0.292921928,0.312029431,0.328056134,0.310901189,0.298512389,0.302223808,0.320920213,0.314301342,0.315835483
West Lancashire,E07000127,0.225423241,0.213309834,0.213719498,0.205073462,0.19623889,0.223374064,0.221006276,0.210418479,0.202083381,0.200044386
Wyre,E07000128,0.286246211,0.291243625,0.282375623,0.268409494,0.261809987,0.285206922,0.291054687,0.281182898,0.264589878,0.23482715
Blaby,E07000129,0.26929592,0.274141749,0.279952662,0.269981054,0.2485846,0.274722628,0.275764907,0.275272745,0.282583488,0.235280459
